"Date","Price","Open","High","Low","Vol.","Change %"
"19-05-2025","1,440.80","1,452.10","1,454.60","1,438.20","6.20M","-1.07%"
"16-05-2025","1,456.40","1,453.20","1,461.00","1,447.30","9.04M","0.15%"
"15-05-2025","1,454.20","1,425.00","1,461.40","1,412.70","20.18M","2.09%"
"14-05-2025","1,424.40","1,420.00","1,429.90","1,415.50","5.57M","0.61%"
"13-05-2025","1,415.70","1,433.50","1,447.70","1,412.40","11.41M","-1.45%"
"12-05-2025","1,436.50","1,400.00","1,439.00","1,400.00","10.67M","4.31%"
"09-05-2025","1,377.20","1,385.50","1,394.80","1,374.50","13.67M","-2.12%"
"08-05-2025","1,407.00","1,404.10","1,420.80","1,398.00","16.11M","0.07%"
"07-05-2025","1,406.00","1,420.90","1,424.40","1,402.70","13.44M","-1.05%"
"06-05-2025","1,420.90","1,431.00","1,432.00","1,410.60","14.08M","-0.73%"
"05-05-2025","1,431.30","1,431.00","1,439.50","1,426.90","12.69M","0.63%"
"02-05-2025","1,422.40","1,414.00","1,426.70","1,409.10","17.54M","1.24%"
"30-04-2025","1,405.00","1,402.00","1,412.40","1,369.00","25.48M","0.38%"
"29-04-2025","1,399.70","1,371.00","1,410.90","1,370.00","32.54M","2.26%"
"28-04-2025","1,368.80","1,340.00","1,374.60","1,320.20","31.10M","5.26%"
"25-04-2025","1,300.40","1,303.50","1,325.20","1,288.10","14.43M","-0.09%"
"24-04-2025","1,301.60","1,292.40","1,304.50","1,290.30","10.47M","0.12%"
"23-04-2025","1,300.00","1,297.00","1,306.00","1,285.40","10.48M","0.68%"
"22-04-2025","1,291.20","1,300.00","1,303.90","1,286.30","13.05M","-0.33%"
"21-04-2025","1,295.50","1,270.00","1,300.90","1,267.00","10.43M","1.65%"
"17-04-2025","1,274.50","1,240.20","1,280.20","1,227.60","15.40M","2.84%"
"16-04-2025","1,239.30","1,234.10","1,240.90","1,229.00","8.25M","-0.06%"
"15-04-2025","1,240.10","1,251.00","1,251.00","1,237.10","13.38M","1.74%"
"11-04-2025","1,218.95","1,195.15","1,222.65","1,195.15","11.22M","2.83%"
"09-04-2025","1,185.35","1,169.50","1,189.80","1,168.00","10.22M","0.27%"
"08-04-2025","1,182.20","1,172.00","1,196.60","1,163.30","19.56M","1.42%"
"07-04-2025","1,165.70","1,132.20","1,171.25","1,114.85","22.16M","-3.24%"
"04-04-2025","1,204.70","1,241.10","1,245.45","1,193.15","17.91M","-3.52%"
"03-04-2025","1,248.70","1,233.05","1,251.80","1,233.05","7.43M","-0.20%"
"02-04-2025","1,251.15","1,247.55","1,255.55","1,243.90","10.14M","-0.12%"
"01-04-2025","1,252.60","1,264.60","1,277.90","1,249.30","12.10M","-1.76%"
"28-03-2025","1,275.10","1,280.00","1,295.75","1,269.00","18.15M","-0.24%"
"27-03-2025","1,278.20","1,278.15","1,285.00","1,271.30","15.03M","0.40%"
"26-03-2025","1,273.05","1,291.00","1,293.80","1,268.75","12.07M","-0.96%"
"25-03-2025","1,285.45","1,307.70","1,307.70","1,282.60","13.71M","-1.28%"
"24-03-2025","1,302.10","1,291.00","1,306.00","1,284.25","20.30M","2.02%"
"21-03-2025","1,276.35","1,275.00","1,281.00","1,270.10","21.78M","0.57%"
"20-03-2025","1,269.15","1,251.85","1,273.00","1,250.05","15.97M","1.76%"
"19-03-2025","1,247.15","1,241.05","1,253.25","1,238.80","16.16M","0.67%"
"18-03-2025","1,238.80","1,244.70","1,248.35","1,235.00","15.75M","0.00%"
"17-03-2025","1,238.85","1,242.15","1,257.40","1,233.10","16.64M","-0.73%"
"13-03-2025","1,247.90","1,260.05","1,264.15","1,243.85","9.51M","-0.73%"
"12-03-2025","1,257.05","1,258.00","1,263.00","1,244.00","11.98M","0.78%"
"11-03-2025","1,247.30","1,240.00","1,249.50","1,229.75","10.09M","0.72%"
"10-03-2025","1,238.40","1,245.00","1,258.00","1,235.40","11.93M","-0.91%"
"07-03-2025","1,249.80","1,216.00","1,254.80","1,212.00","16.47M","3.32%"
"06-03-2025","1,209.60","1,197.00","1,213.95","1,185.15","14.47M","2.89%"
"05-03-2025","1,175.60","1,161.00","1,183.00","1,157.00","8.66M","1.18%"
"04-03-2025","1,161.90","1,162.20","1,174.00","1,159.55","11.38M","-0.80%"
"03-03-2025","1,171.25","1,204.00","1,206.45","1,156.00","17.94M","-2.40%"
"28-02-2025","1,200.10","1,202.00","1,217.35","1,193.30","23.01M","-0.58%"
"27-02-2025","1,207.10","1,212.80","1,215.00","1,200.65","11.51M","0.26%"
