"stock_date";"stock_price";"stock_open";"stock_high";"stock_low";"stock_volume";"stock_change";"Volatility_7";"MA_7";"daily_return"
"2025-02-25";1204.0;1211.0;1221.0;1201.5;11550000.0;-0.87;0.517432;1222.49;-0.868638
"2025-02-24";1214.55;1216.55;1223.25;1210.5;7170000.0;-1.11;0.304808;1224.39;0.0
"2025-02-21";1228.15;1228.7;1240.0;1222.15;6900000.0;-0.39;0.276255;1224.61;-0.393348
"2025-02-20";1233.0;1223.95;1239.35;1222.0;7800000.0;0.45;0.684586;1222.95;0.452161
"2025-02-19";1227.45;1219.5;1232.75;1217.55;6220000.0;0.17;0.806929;1223.21;0.167286
"2025-02-18";1225.4;1224.85;1229.9;1216.1;6670000.0;0.04;0.835836;1226.96;0.0408197
"2025-02-17";1224.9;1211.1;1227.5;1204.5;8170000.0;0.63;0.784905;1232.86;0.0
"2025-02-14";1217.25;1219.0;1224.0;1205.45;10300000.0;0.09;0.828719;1240.95;0.0945666
"2025-02-13";1216.1;1217.05;1228.0;1212.0;8510000.0;-0.04;0.753577;1249.66;-0.0369959
"2025-02-12";1216.55;1219.45;1226.9;1193.35;21130000.0;-1.48;1.7796;1259.53;-1.48196
"2025-02-11";1234.85;1264.55;1264.55;1230.1;8860000.0;-1.5;1.86398;1263.72;-1.49962
"2025-02-10";1253.65;1264.5;1266.5;1245.55;6970000.0;-1.03;1.66579;1267.97;0.0
"2025-02-07";1266.7;1276.15;1283.7;1262.0;8760000.0;-1.16;1.51175;1269.61;-1.15876
"2025-02-06";1281.55;1273.7;1288.0;1270.35;9960000.0;0.26;1.32119;1267.66;0.262095
"2025-02-05";1278.2;1282.65;1290.5;1276.7;10110000.0;-0.54;1.33885;1261.08;-0.544662
"2025-02-04";1285.2;1248.05;1288.8;1246.6;16690000.0;3.15;1.1897;1254.82;3.15434
"2025-02-03";1245.9;1251.0;1256.0;1237.55;9250000.0;-1.48;0.613355;1246.84;0.0
"2025-02-01";1264.6;1265.1;1270.55;1241.0;7120000.0;-0.04;0.963952;1246.9;-0.0395226
"2025-01-31";1265.1;1255.85;1267.0;1249.0;6580000.0;0.96;1.10262;1246.76;0.961648
"2025-01-30";1253.05;1235.55;1257.0;1232.4;9270000.0;1.42;1.02474;1248.48;1.42048
"2025-01-29";1235.5;1236.0;1242.75;1228.05;5930000.0;0.09;1.12849;1251.43;0.0891101
"2025-01-28";1234.4;1238.0;1244.75;1218.5;10570000.0;0.41;1.18891;1261.42;0.41079
"2025-01-27";1229.35;1239.1;1240.45;1220.0;9540000.0;-1.36;2.02479;1271.13;0.0
"2025-01-24";1246.3;1266.0;1273.0;1243.5;14240000.0;-1.37;1.91037;1276.43;-1.373
"2025-01-23";1263.65;1270.0;1277.35;1261.6;8720000.0;-1.05;1.84611;1277.27;-1.05316
"2025-01-22";1277.1;1278.3;1282.9;1268.7;10270000.0;0.27;1.74315;1273.71;0.266941
"2025-01-21";1273.7;1310.5;1313.0;1270.2;14560000.0;-2.43;1.9458;1268.39;-2.43211
"2025-01-20";1305.45;1316.0;1316.0;1300.25;14040000.0;0.24;1.45366;1263.85;0.0
"2025-01-17";1302.35;1322.25;1326.0;1285.0;29370000.0;2.83;1.46219;1256.61;2.8347
"2025-01-16";1266.45;1258.9;1275.0;1251.3;14120000.0;1.14;1.21295;1251.34;1.138
"2025-01-15";1252.2;1244.95;1257.0;1241.85;9580000.0;1.09;1.33693;1247.69;1.08577
"2025-01-14";1238.75;1244.1;1253.35;1227.25;13100000.0;-0.09;1.45961;1242.8;-0.0887184
"2025-01-13";1239.85;1230.0;1245.25;1226.4;13760000.0;-0.17;1.44044;1244.57;0.0
"2025-01-10";1241.9;1253.85;1256.75;1236.0;8120000.0;-1.02;1.36907;1244.85;-1.02411
"2025-01-09";1254.75;1267.0;1269.75;1248.05;12790000.0;-0.85;1.09186;1241.9;-0.849467
"2025-01-08";1265.5;1249.0;1271.05;1245.35;19350000.0;1.99;0.732547;1236.29;1.98654
"2025-01-07";1240.85;1222.0;1244.5;1221.25;10070000.0;1.88;0.694723;1228.46;1.87602
"2025-01-06";1218.0;1253.95;1262.0;1215.0;14820000.0;-2.65;0.551283;1225.63;0.0
